Player Name,Player ID,NAME,COUNTRY,Full name,Playing role,Batting style,Bowling style
Towhid Hridoy,990031,Towhid Hridoy,Bangladesh,Md Towhid Hridoy,Top-order batsman,Right-hand bat,Right-arm offbreak
LJ Wright,23460,Luke Wright,England,Luke James Wright,Allrounder,Right-hand bat,Right-arm medium-fast
Aaron Jones,957645,Aaron Jones,United States of America,Aaron Jones,nan,Right-hand bat,Legbreak googly
LS Livingstone,403902,Liam Livingstone,England,Liam Stephen Livingstone,nan,Right-hand bat,Legbreak
AA Obanda,291844,Alex Obanda,Kenya,Alex Auma Obanda,Opening batsman,Right-hand bat,Right-arm medium-fast
JR Ratnayeke,50250,Ravi Ratnayeke,Sri Lanka,Joseph Ravindran Ratnayeke,nan,Left-hand bat,Right-arm fast-medium
Sarfraz Nawaz,42630,Sarfraz Nawaz,Pakistan,Sarfraz Nawaz Malik,nan,Right-hand bat,Right-arm fast-medium
Shahriar Nafees,56153,Shahriar Nafees,Bangladesh,Shahriar Nafees Ahmed,Top-order batsman,Left-hand bat,nan
PL Symcox,47267,Pat Symcox,South Africa,Patrick Leonard Symcox,nan,Right-hand bat,Right-arm offbreak
Z Bimenyimana,1151261,Zappy Bimenyimana,Rwanda,Zappy Bimenyimana,nan,nan,nan
RMH Binny,26948,Roger Binny,India,Roger Michael Humphrey Binny,nan,Right-hand bat,Right-arm medium
BFW de Leede,1036191,Bas de Leede,Netherlands,Bas de Leede,Batsman,nan,nan
Javed Omar,55935,Javed Omar,Bangladesh,Mohammad Javed Omar Belim,Opening batsman,Right-hand bat,Legbreak
Kushal Malla,1141934,Kushal Malla,Nepal,Kushal Malla,nan,Left-hand bat,Slow left-arm orthodox
Iftikhar Ahmed,480603,Iftikhar Ahmed,Pakistan,Iftikhar Ahmed,Middle-order batsman,Right-hand bat,Right-arm offbreak
JK Kamande,24697,Jimmy Kamande,Kenya,James Kabatha Kamande,Bowler,Right-hand bat,Right-arm offbreak
F Behardien,44410,Farhaan Behardien,South Africa,Farhaan Behardien,Batting allrounder,Right-hand bat,Right-arm fast-medium
SJ Benn,51248,Sulieman Benn,West Indies,Sulieman Jamaal Benn,Bowler,Left-hand bat,Slow left-arm orthodox
MG Bracewell,326968,Michael Bracewell,New Zealand,Michael Gordon Bracewell,Top-order batsman,Left-hand bat,nan
DT Johnston,6038,Trent Johnston,Ireland,David Trent Johnston,Bowler,Right-hand bat,Right-arm fast-medium
EC Joyce,24249,Ed Joyce,Ireland,Edmund Christopher Joyce,Top-order batsman,Left-hand bat,Right-arm medium
AI Kallicharran,52285,Alvin Kallicharran,West Indies,Alvin Isaac Kallicharran,nan,Left-hand bat,Right-arm offbreak
RS Kalpage,49356,Ruwan Kalpage,Sri Lanka,Ruwan Senani Kalpage,nan,Left-hand bat,Right-arm offbreak
JM Kemp,45797,Justin Kemp,South Africa,Justin Miles Kemp,nan,Right-hand bat,Right-arm fast-medium
CS Martin,37700,Chris Martin,New Zealand,Christopher Stewart Martin,Bowler,Right-hand bat,Right-arm fast-medium
D Ndikubwimana,1155597,Didier Ndikubwimana,Rwanda,Didier Ndikubwimana,nan,nan,nan
DBL Powell,52790,Daren Powell,West Indies,Daren Brent Lyle Powell,nan,Right-hand bat,Right-arm fast-medium
AR Cusack,293983,Alex Cusack,Ireland,Alex Richard Cusack,Bowler,Right-hand bat,Right-arm medium-fast
JR Hopes,5702,James Hopes,Australia,James Redfern Hopes,Allrounder,Right-hand bat,Right-arm medium
DW Randall,19327,Derek Randall,England,Derek William Randall,nan,Right-hand bat,Right-arm medium
R Ravindra,959767,Rachin Ravindra,New Zealand,Rachin Ravindra,Batsman,Left-hand bat,Slow left-arm orthodox
DS Smith,52962,Devon Smith,West Indies,Devon Sheldon Smith,Opening batsman,Left-hand bat,Right-arm offbreak
PL Taylor,7926,Peter Taylor,Australia,Peter Laurence Taylor,nan,Left-hand bat,Right-arm offbreak
M Akayezu,1155599,Martin Akayezu,Rwanda,Martin Akayezu,nan,nan,nan
Saad Bin Zafar,359746,Saad Bin Zafar,Canada,Saad Bin Zafar,Allrounder,Left-hand bat,Slow left-arm orthodox
Shahadat Hossain,56149,Shahadat Hossain,Bangladesh,Kazi Shahadat Hossain,Bowler,Right-hand bat,Right-arm medium-fast
H Ssenyondo,420490,Henry Ssenyondo,Uganda,Henry Ssenyondo,nan,Right-hand bat,Slow left-arm orthodox
WA Young,547749,Will Young,New Zealand,William Alexander Young,nan,Right-hand bat,Right-arm offbreak
Asif Khan,315232,Asif Khan,Pakistan,Asif Khan,nan,Right-hand bat,Right-arm offbreak
JG Bracewell,36306,John Bracewell,New Zealand,John Garry Bracewell,nan,Right-hand bat,Right-arm offbreak
D Elgar,230852,Dean Elgar,South Africa,Dean Elgar,Opening batsman,Left-hand bat,Slow left-arm orthodox
JP Faulkner,270484,James Faulkner,Australia,James Peter Faulkner,Bowling allrounder,Right-hand bat,Left-arm fast-medium
Maninder Singh,30923,Maninder Singh,India,Maninder Singh,nan,Right-hand bat,Slow left-arm orthodox
KO Otieno,24714,Kennedy Otieno,Kenya,Kennedy Otieno Obuya,nan,Right-hand bat,nan
JA Rudolph,47015,Jacques Rudolph,South Africa,Jacobus Andries Rudolph,nan,Left-hand bat,Legbreak googly
RC Russell,19500,Jack Russell,England,Robert Charles Russell,nan,Left-hand bat,Right-arm offbreak
OA Shah,20123,Owais Shah,England,Owais Alam Shah,Batsman,Right-hand bat,Right-arm offbreak
GS Sobers,52946,Sir Garry Sobers,West Indies,Garfield St Aubrun Sobers,Allrounder,Left-hand bat,"Left-arm fast-medium, Slow left-arm orthodox, Slow left-arm chinaman"
Alok Kapali,56251,Alok Kapali,Bangladesh,Alok Kapali,nan,Right-hand bat,Legbreak
Fazalhaq Farooqi,974175,Fazal Haque,Afghanistan,FazalHaq Farooqi,nan,Right-hand bat,Left-arm medium
N Pradeep,324358,Nuwan Pradeep,Sri Lanka,Aththachchi Nuwan Pradeep Roshan Fernando,Bowler,Right-hand bat,Right-arm fast-medium
MJ Hoggard,14236,Matthew Hoggard,England,Matthew James Hoggard,nan,Right-hand bat,Right-arm fast-medium
SP O'Donnell,6995,Simon O'Donnell,Australia,Simon Patrick O'Donnell,nan,Right-hand bat,Right-arm fast-medium
RJ Ratnayake,50249,Rumesh Ratnayake,Sri Lanka,Rumesh Joseph Ratnayake,nan,Right-hand bat,Right-arm fast-medium
R Trumpelmann,698317,Ruben Trumpelmann,South Africa,Ruben Trumpelmann,nan,Right-hand bat,Left-arm fast
CBRLS Kumara,784375,Lahiru Kumara,Sri Lanka,Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,Bowler,Left-hand bat,Right-arm fast
GRJ Matthews,6525,Greg Matthews,Australia,Gregory Richard John Matthews,Allrounder,Left-hand bat,Right-arm offbreak
O Tuyisenge,1151256,Orchide Tuyisenge,Rwanda,Orchide Tuyisenge,nan,nan,nan
Anshuman Rath,452472,Anshy Rath,Hong Kong,Anshuman Rath,Wicketkeeper batsman,Left-hand bat,Slow left-arm orthodox
Asif Mujtaba,39013,Asif Mujtaba,Pakistan,Mohammad Asif Mujtaba,nan,Left-hand bat,Slow left-arm orthodox
IM Chappell,4560,Ian Chappell,Australia,Ian Michael Chappell,Top-order batsman,Right-hand bat,Legbreak
BM Duckett,521637,Ben Duckett,England,Ben Matthew Duckett,nan,Left-hand bat,Right-arm offbreak
TG Evans,12543,Godfrey Evans,England,Thomas Godfrey Evans,nan,Right-hand bat,Legbreak
Gulsan Jha,1253822,,,,,,
JF Mooney,24237,John Mooney,Ireland,John Francis Mooney,Allrounder,Left-hand bat,Right-arm medium
KOA Powell,252932,Kieran Powell,West Indies,Kieran Omar Akeem Powell,Opening batsman,Left-hand bat,"Right-arm medium, Right-arm offbreak"
Shafiul Islam,288305,Shafiul Islam,Bangladesh,Shafiul Islam,Bowler,Right-hand bat,Right-arm fast-medium
A Sharafu,1161038,Alishan Sharafu,United Arab Emirates,Alishan Sharafu,nan,Right-hand bat,Right-arm medium
WIA Fernando,784369,Avishka Fernando,Sri Lanka,Weerahandige Inol Avishka Fernando,Opening batsman,Right-hand bat,Right-arm medium-fast
MW Goodwin,55456,Murray Goodwin,Zimbabwe,Murray William Goodwin,Top-order batsman,Right-hand bat,Legbreak
C Rubagumya,1151255,Clinton Rububagumya,Rwanda,Clinton Rububagumya,nan,nan,nan
S Sreesanth,34274,Sreesanth,India,Shanthakumaran Sreesanth,Bowler,Right-hand bat,Right-arm fast-medium
Khaled Mahmud,55952,Khaled Mahmud,Bangladesh,Khaled Mahmud,nan,Right-hand bat,Right-arm medium
PM Siddle,7898,Peter Siddle,Australia,Peter Matthew Siddle,Bowler,Right-hand bat,Right-arm fast-medium
MS Sinclair,38393,Mathew Sinclair,New Zealand,Mathew Stuart Sinclair,nan,Right-hand bat,Right-arm medium
LL Tsotsobe,47666,Lonwabo Tsotsobe,South Africa,Lonwabo Lopsy Tsotsobe,Bowler,Right-hand bat,Left-arm fast-medium
Aqib Ilyas,940593,Aqib Ilyas,Oman,Aqib Ilyas Sulehri,Top-order batsman,Right-hand bat,Right-arm offbreak
JC Archer,669855,Jofra Archer,West Indies,Jofra Chioke Archer,Bowling allrounder,Right-hand bat,Right-arm fast-medium
CR Brathwaite,457249,Carlos Brathwaite,West Indies,Carlos Ricardo Brathwaite,Allrounder,Right-hand bat,Right-arm fast-medium
ARC Fraser,12909,Angus Fraser,England,Angus Robert Charles Fraser,nan,Right-hand bat,Right-arm fast-medium
Kaleemullah,1077307,Kaleemullah,Oman,Kaleemullah,Bowler,Right-hand bat,Right-arm medium
O Manishimwe,1280665,,,,,,
DL Murray,52441,Deryck Murray,West Indies,Deryck Lance Murray,nan,Right-hand bat,Legbreak
JR Murray,52442,Junior Murray,West Indies,Junior Randalph Murray,nan,Right-hand bat,nan
T Panyangara,55705,Tinashe Panyangara,Zimbabwe,Tinashe Panyangara,Bowler,Right-hand bat,Right-arm fast-medium
BA Reid,7319,Bruce Reid,Australia,Bruce Anthony Reid,Bowler,Left-hand bat,Left-arm fast-medium
JD Ryder,38373,Jesse Ryder,New Zealand,Jesse Daniel Ryder,Allrounder,Left-hand bat,Right-arm medium
S Ssesazi,531312,Simon Sesazi,Uganda,Simon Sesazi,nan,Right-hand bat,Right-arm slow
C Sharma,33949,Chetan Sharma,India,Chetan Sharma,nan,Right-hand bat,Right-arm fast-medium
Simi Singh,1005257,Simi Singh,Ireland,Simi Singh,Middle-order batsman,Right-hand bat,Right-arm offbreak
HA Varaiya,254114,Hiren Varaiya,Kenya,Hiren Ashok Varaiya,Bowler,Right-hand bat,Slow left-arm orthodox
SC Williams,53234,Stuart Williams,West Indies,Stuart Clayton Williams,Batsman,Right-hand bat,Right-arm medium
GO Jones,15501,Geraint Jones,Papua New Guinea,Geraint Owen Jones,nan,Right-hand bat,nan
CK Langeveldt,45963,Charl Langeveldt,South Africa,Charl Kenneth Langeveldt,Bowler,Right-hand bat,Right-arm fast-medium
KR Mayers,348056,Kyle Mayers,West Indies,Kyle Rico Mayers,Allrounder,Left-hand bat,Right-arm medium
Naseem Shah,1158088,Naseem Shah,Pakistan,Naseem Shah,nan,Right-hand bat,Right-arm medium-fast
Naved-ul-Hasan,42272,Naved-ul-Hasan,Pakistan,Rana Naved-ul-Hasan,nan,Right-hand bat,Right-arm medium-fast
PJ Ongondo,24762,Peter Ongondo,Kenya,Peter Jimmy Carter Ongondo,Bowler,Right-hand bat,Right-arm fast-medium
BP Patterson,52671,Patrick Patterson,West Indies,Balfour Patrick Patterson,nan,Right-hand bat,Right-arm fast
CA Soper,574287,Chad Soper,Papua New Guinea,Chad Aiwati Soper,Bowler,Right-hand bat,Right-arm medium-fast
M Vijay,237095,Murali Vijay,India,Murali Vijay,Opening batsman,Right-hand bat,Right-arm offbreak
AJ Bichel,4146,Andy Bichel,Australia,Andrew John Bichel,Bowler,Right-hand bat,Right-arm fast-medium
ST Gabriel,446101,Shannon Gabriel,West Indies,Shannon Terry Gabriel,Bowler,Right-hand bat,Right-arm fast
C Green,1076713,Cameron Green,Australia,Cameron Green,nan,Right-hand bat,Right-arm medium
MG Hughes,5726,Merv Hughes,Australia,Mervyn Gregory Hughes,Bowler,Right-hand bat,Right-arm fast
RB Kanhai,52287,Rohan Kanhai,West Indies,Rohan Bholalall Kanhai,nan,Right-hand bat,Right-arm medium
Majid Khan,41919,Majid Khan,Pakistan,Majid Jahangir Khan,nan,Right-hand bat,"Right-arm medium, Right-arm offbreak"
Mohammad Irfan,429981,Mohammad Irfan,Pakistan,Mohammad Irfan,Bowler,Right-hand bat,Left-arm fast
MM Patel,32965,Munaf Patel,India,Munaf Musa Patel,Bowler,Right-hand bat,Right-arm medium-fast
D Bishoo,341593,Devendra Bishoo,West Indies,Devendra Bishoo,Bowler,Left-hand bat,Legbreak
SS Cottrell,495551,Sheldon Cottrell,West Indies,Sheldon Shane Cottrell,Bowler,Right-hand bat,Left-arm fast-medium
NH Fairbrother,12803,Neil Fairbrother,England,Neil Harvey Fairbrother,nan,Left-hand bat,Left-arm medium
ADS Fletcher,51862,Andre Fletcher,West Indies,Andre David Stephon Fletcher,Wicketkeeper batsman,Right-hand bat,"Right-arm medium-fast, Legbreak"
WR Hammond,14022,Wally Hammond,England,Walter Reginald Hammond,nan,Right-hand bat,Right-arm medium-fast
MJ Horne,37250,Matt Horne,New Zealand,Matthew Jeffery Horne,nan,Right-hand bat,Right-arm medium
DL Houghton,55497,Dave Houghton,Zimbabwe,David Laud Houghton,nan,Right-hand bat,Right-arm offbreak
CC Lewis,16274,Chris Lewis,England,Clairmonte Christopher Lewis,nan,Right-hand bat,Right-arm fast-medium
PJ Moor,333000,Peter Moor,Zimbabwe,Peter Joseph Moor,Middle-order batsman,Right-hand bat,Right-arm offbreak
G Motie,670045,Gudakesh Motie,West Indies,Gudakesh Motie-Kanhai,nan,Left-hand bat,Slow left-arm orthodox
Muhammad Usman,974719,Muhammad Usman,United Arab Emirates,Muhammad Usman,Middle-order batsman,Left-hand bat,nan
SN Thakur,475281,Shardul Thakur,India,Shardul Narendra Thakur,Bowler,Right-hand bat,Right-arm medium
NP Kenjige,1041679,Nosthush Kenjige,United States of America,Nosthusha Pradeep Kenjige,nan,Right-hand bat,Slow left-arm orthodox
Ahmer Bin,823339,Ahmer Bin,Pakistan,Ahmer Bin Nasir,nan,nan,nan
Arshdeep Singh,1125976,Arshdeep Singh,India,Arshdeep Singh,Bowler,Left-hand bat,Left-arm medium-fast
Mudassar Bukhari,245166,Mudassar Bukhari,Netherlands,Mudassar Bukhari,Allrounder,Right-hand bat,Right-arm medium-fast
JH Edrich,12490,John Edrich,England,John Hugh Edrich,nan,Left-hand bat,Right-arm medium
PG Fulton,37091,Peter Fulton,New Zealand,Peter Gordon Fulton,nan,Right-hand bat,Right-arm medium
D Ganga,51872,Daren Ganga,West Indies,Daren Ganga,Batsman,Right-hand bat,Right-arm offbreak
KM Jarvis,332996,Kyle Jarvis,Zimbabwe,Kyle Malcolm Jarvis,Bowler,Right-hand bat,Right-arm fast-medium
SB Joshi,29725,Sunil Joshi,India,Sunil Bandacharya Joshi,nan,Left-hand bat,Slow left-arm orthodox
P Kumar,30732,Praveen Kumar,India,Praveenkumar Sakat Singh,Bowler,Right-hand bat,Right-arm medium
RS Madugalle,49623,Ranjan Madugalle,Sri Lanka,Ranjan Senerath Madugalle,nan,Right-hand bat,Right-arm offbreak
TM Moody,6628,Tom Moody,Australia,Thomas Masson Moody,Top-order batsman,Right-hand bat,Right-arm medium
A Nortje,481979,Anrich Nortje,South Africa,Anrich Nortje,Bowler,Right-hand bat,Right-arm fast
DO Obuya,24760,David Obuya,Kenya,David Oluoch Obuya,Top-order batsman,Right-hand bat,nan
KH Prajapati,1276719,,,,,,
RW Taylor,21494,Bob Taylor,England,Robert William Taylor,nan,Right-hand bat,Right-arm medium
Ayaan Khan,956319,Ayan Khan,India,Ayan Khan,nan,Left-hand bat,Slow left-arm orthodox
KWR Fletcher,12854,Keith Fletcher,England,Keith William Robert Fletcher,nan,Right-hand bat,Legbreak
DJ Hawoe,1167318,Danilson Hawoe,Indonesia,Danilson Johanis Hawoe,nan,nan,nan
MS Kasprowicz,6126,Michael Kasprowicz,Australia,Michael Scott Kasprowicz,Bowler,Right-hand bat,Right-arm fast-medium
Naseem Khushi,1077310,Naseem Khushi,Oman,Muhammad Naseem Khushi,Wicketkeeper,Right-hand bat,nan
IO Okpe,637526,Isaac Okpe,Nigeria,Isaac Ochgwu Okpe,nan,Right-hand bat,Right-arm medium
Pavandeep Singh,633641,Pavandeep Singh,Malaysia,Pavandeep Singh,nan,Right-hand bat,Slow left-arm orthodox
PD Salt,669365,Philip Salt,England,Philip Dean Salt,nan,Right-hand bat,Right-arm offbreak
S Samarawickrama,629076,Sadeera Samarawickrama,Sri Lanka,Wedagedara Sadeera Rashen Samarawickrama,Wicketkeeper batsman,Right-hand bat,nan
KF Barrington,9014,Ken Barrington,England,Kenneth Frank Barrington,nan,Right-hand bat,Legbreak
K Doriga,646173,Kiplin Doriga,Papua New Guinea,Kiplin Doriga,Top-order batsman,Right-hand bat,nan
LR Gibbs,51883,Lance Gibbs,West Indies,Lancelot Richard Gibbs,nan,Right-hand bat,Right-arm offbreak
KM Jadhav,290716,Kedar Jadhav,India,Kedar Mahadav Jadhav,Batting allrounder,Right-hand bat,Right-arm offbreak
G Malla,233400,Gyanendra Malla,Nepal,Gyanendra Malla,Top-order batsman,Right-hand bat,nan
HJH Marshall,37696,Hamish Marshall,New Zealand,Hamish John Hamilton Marshall,Batsman,Right-hand bat,Right-arm medium
T Marumani,946507,Tadiwanashe Marumani,Zimbabwe,Tadiwanashe Marumani,nan,Left-hand bat,Right-arm offbreak
DM Nakrani,731523,Dinesh Nakrani,India,Dinesh Magan Nakrani,nan,Left-hand bat,Left-arm medium
TD Paine,7252,Tim Paine,Australia,Timothy David Paine,Wicketkeeper batsman,Right-hand bat,Right-arm medium
RP Singh,35280,RP Singh,India,Rudra Pratap Singh,Bowler,Right-hand bat,Left-arm fast-medium
GM Turner,38622,Glenn Turner,New Zealand,Glenn Maitland Turner,nan,Right-hand bat,Right-arm offbreak
Ahmad Ramdoni,1082736,Ahmad Ramdoni,Indonesia,Ahmad Ramdoni,nan,Right-hand bat,nan
AC Cummins,51488,Anderson Cummins,Canada,Anderson Cleophas Cummins,Allrounder,Right-hand bat,Right-arm fast-medium
A Dananjaya,574178,Akila Dananjaya,Sri Lanka,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,Allrounder,Left-hand bat,Right-arm offbreak
Fawad Alam,40250,Fawad Alam,Pakistan,Fawad Alam,Top-order batsman,Left-hand bat,Slow left-arm orthodox
Mahedi Hasan,833087,Mahedi Hasan,Bangladesh,Mahedi Hasan,Top-order batsman,Right-hand bat,Right-arm offbreak
Nawroz Mangal,318334,Nawroz Mangal,Afghanistan,Nawroz Khan Mangal,Top-order batsman,Right-hand bat,Right-arm offbreak
SLV Raju,33044,Venkatapathy Raju,India,Sagi Lakshmi Venkatapathy Raju,nan,Right-hand bat,Slow left-arm orthodox
Rizwan Butt,1344829,,,,,,
Saim Ayub,1161031,Saim Ayub,Pakistan,Saim Ayub,nan,Left-hand bat,Right-arm medium-fast
TL Seifert,625964,Tim Seifert,New Zealand,Tim Louis Seifert,Wicketkeeper batsman,Right-hand bat,nan
SR Taylor,348133,Steven Taylor,United States of America,Steven Ryan Taylor,Opening batsman,Left-hand bat,Right-arm offbreak
C White,22403,Craig White,England,Craig White,Allrounder,Right-hand bat,"Right-arm fast-medium, Right-arm offbreak"
Yasir Hameed,43656,Yasir Hameed,Pakistan,Yasir Hameed Qureshi,nan,Right-hand bat,"Right-arm medium, Right-arm offbreak"
PH Edmonds,12486,Phil Edmonds,England,Philippe-Henri Edmonds,nan,Right-hand bat,Slow left-arm orthodox
AW Greig,13463,Tony Greig,England,Anthony William Greig,nan,Right-hand bat,"Right-arm medium, Right-arm offbreak"
Junaid Aziz,1093632,Junaid Aziz,Bahrain,Junaid Aziz Mohamed Aziz Khan Amir K Khan Mehr,nan,Right-hand bat,Legbreak googly
Junaid Siddique,55946,Junaid Siddique,Bangladesh,Mohammad Junaid Siddique,Top-order batsman,Left-hand bat,Right-arm offbreak
Karim Janat,793467,Karim Janat,Afghanistan,Karim Janat,Bowling allrounder,Right-hand bat,Right-arm medium
BMAJ Mendis,49700,Jeevan Mendis,Sri Lanka,Balapuwaduge Manukulasuriya Amith Jeevan Mendis,Allrounder,Left-hand bat,Legbreak
Mosaddek Hossain,550133,Mosaddek Hossain,Bangladesh,Mosaddek Hossain Saikat,Middle-order batsman,Right-hand bat,Right-arm offbreak
SA Okpe,1143139,Sylvester Okpe,Nigeria,Sylvester Ameh Okpe,nan,Right-hand bat,Right-arm offbreak
HK Olonga,55675,Henry Olonga,Zimbabwe,Henry Khaaba Olonga,nan,Right-hand bat,Right-arm fast
CPH Ramanayake,50240,Champaka Ramanayake,Sri Lanka,Champaka Priyadarshana Hewage Ramanayake,nan,Right-hand bat,Right-arm fast-medium
Shapoor Zadran,319746,Shapoor Zadran,Afghanistan,Shapoor Zadran,Bowler,Left-hand bat,Left-arm fast-medium
Aqib Iqbal,1101783,Aqib Iqbal,Austria,Aqib Javed Iqbal,nan,Right-hand bat,Right-arm medium
Asif Ali,494230,Asif Ali,Pakistan,Asif Ali,Middle-order batsman,Right-hand bat,Right-arm medium-fast
Danish Kaneria,40043,Danish Kaneria,Pakistan,Danish Parabha Shanker Kaneria,nan,Right-hand bat,Legbreak
A Dutt,1195672,,,,,,
TW Graveney,13434,Tom Graveney,England,Thomas William Graveney,nan,Right-hand bat,Legbreak
RN Harvey,5603,Neil Harvey,Australia,Robert Neil Harvey,nan,Left-hand bat,Right-arm offbreak
D Heyliger,1061467,Dillon Heyliger,Canada,Dillon Heyliger,Bowler,Right-hand bat,Right-arm medium
L Hutton,14334,Sir Leonard Hutton,England,Leonard Hutton,nan,Right-hand bat,Legbreak
Nurul Hasan,410765,Nurul Hasan,Bangladesh,Quazi Nurul Hasan,Allrounder,Right-hand bat,nan
YK Pathan,32498,Yusuf Pathan,India,Yusuf Khan Pathan,Allrounder,Right-hand bat,Right-arm offbreak
Taijul Islam,401057,Taijul Islam,Bangladesh,Taijul Islam,Bowler,Left-hand bat,Slow left-arm orthodox
AR White,24286,Andrew White,Ireland,Andrew Roland White,Allrounder,Right-hand bat,Right-arm offbreak
Yashpal Sharma,36075,Yashpal Sharma,India,Yashpal Sharma,nan,Right-hand bat,Right-arm medium
F Banunaek,1167320,Ferdinando Banunaek,Indonesia,Ferdinando Banunaek,nan,nan,nan
GS Blewett,4161,Greg Blewett,Australia,Gregory Scott Blewett,nan,Right-hand bat,Right-arm medium
DCS Compton,10777,Denis Compton,England,Denis Charles Scott Compton,nan,Right-hand bat,Slow left-arm chinaman
RL Dias,48470,Roy Dias,Sri Lanka,Roy Luke Dias,nan,Right-hand bat,Right-arm offbreak
NM Hauritz,5593,Nathan Hauritz,Australia,Nathan Michael Hauritz,Bowler,Right-hand bat,Right-arm offbreak
JP Inglis,662235,Josh Inglis,Australia,Joshua Patrick Inglis,nan,Right-hand bat,nan
Nazmul Hossain,56056,Nazmul Hossain,Bangladesh,Mohammad Nazmul Hossain,Bowler,Right-hand bat,Right-arm medium-fast
JL Ontong,46681,Justin Ontong,South Africa,Justin Lee Ontong,nan,Right-hand bat,Right-arm offbreak
D Parashar,1294144,,,,,,
JF Reid,38246,John Reid,New Zealand,John Fulton Reid,nan,Left-hand bat,Legbreak
Sayed Monib,1217359,,,,,,
Sharafuddin Ashraf,633362,Sharafuddin Ashraf,Afghanistan,Sharafuddin Ashraf,Allrounder,Right-hand bat,Slow left-arm orthodox
M Shumba,951781,Milton Shumba,Zimbabwe,Milton Shumba,Top-order batsman,Left-hand bat,Slow left-arm orthodox
J Smits,24952,Jeroen Smits,Netherlands,Jeroen Smits,nan,Right-hand bat,nan
Taranjeet Singh,1236495,,,,,,
T Tshose,585436,Thatayaone Tshose,Botswana,Thatayaone Tshose,nan,Right-hand bat,Right-arm medium
CL Walcott,53211,Sir Clyde Walcott,West Indies,Clyde Leopold Walcott,nan,Right-hand bat,Right-arm fast-medium
Ahsan Malik,518097,Ahsan Malik,Netherlands,Malik Ahsan Ahmad Jamil,Bowler,Right-hand bat,Right-arm medium-fast
Ata-ur-Rehman,39015,Ata-ur-Rehman,Pakistan,Ata-ur-Rehman,nan,Right-hand bat,Right-arm fast-medium
L Balaji,26829,Lakshmipathy Balaji,India,Lakshmipathy Balaji,Bowler,Right-hand bat,Right-arm medium-fast
HMCM Bandara,48284,Malinga Bandara,Sri Lanka,Herath Mudiyanselage Charitha Malinga Bandara,nan,Right-hand bat,Legbreak
U Bhatti,23865,Umar Bhatti,Canada,Umar Bhatti,nan,Left-hand bat,Left-arm medium
DT Christian,4864,Daniel Christian,Australia,Daniel Trevor Christian,Allrounder,Right-hand bat,Right-arm fast-medium
S Elworthy,44960,Steve Elworthy,South Africa,Steven Elworthy,nan,Right-hand bat,Right-arm fast-medium
BC Fortuin,553249,Bjorn Fortuin,South Africa,Bjorn Carl Fortuin,nan,Right-hand bat,Slow left-arm orthodox
AL Hassett,5607,Lindsay Hassett,Australia,Arthur Lindsay Hassett,nan,Right-hand bat,Right-arm medium
Janak Prakash,973799,Janak Prakash,Singapore,Janak Prakash,Allrounder,Right-hand bat,Right-arm medium
S Jora,1161022,Sundeep Jora,Nepal,Sundeep Jora,nan,Right-hand bat,nan
P Khadka,25967,Paras Khadka,Nepal,Paras Khadka,Allrounder,Right-hand bat,"Right-arm medium-fast, Right-arm offbreak"
Khalid Ahmadi,1230629,,,,,,
JK Lever,16260,John Lever,England,John Kenneth Lever,nan,Right-hand bat,Left-arm fast-medium
M Levitt,1071504,Michael Levitt,South Africa,Michael Levitt,nan,Right-hand bat,Right-arm fast
Milind Kumar,451947,Milind Kumar,India,Milind Kumar,nan,Right-hand bat,Right-arm offbreak
Mohamed Azzam,552760,Mohamed Azzam,Maldives,Mohamed Azzam,nan,Right-hand bat,nan
Mohammad Hasnain,1158100,Mohammad Hasnain,Pakistan,Mohammad Hasnain,Bowler,Right-hand bat,Right-arm medium
Mohammad Wasim,41297,Mohammad Wasim,Pakistan,Mohammad Wasim,nan,Right-hand bat,Legbreak googly
Mohamed Shafeeq,1328736,,,,,,
Mohammed Nadeem,1058213,Mohammed Nadeem,Qatar,Mohammed Nadeem,nan,Right-hand bat,Slow left-arm orthodox
Muhammad Muneeb,1230633,,,,,,
LS Pascoe,7083,Len Pascoe,Australia,Leonard Stephen Pascoe,nan,Right-hand bat,Right-arm fast
S Ramadhin,52804,Sonny Ramadhin,West Indies,Sonny Ramadhin,nan,Right-hand bat,Right-arm offbreak
S Ramesh,33066,Sadagoppan Ramesh,India,Sadagoppan Ramesh,nan,Left-hand bat,Right-arm offbreak
S Ravichandran,1338607,,,,,,
Ravi Bishnoi,1175441,Ravi Bishnoi,India,Ravi Bishnoi,nan,Right-hand bat,Legbreak googly
P Roy,33186,Pankaj Roy,India,Pankaj Roy,nan,Right-hand bat,Right-arm medium
MAR Samarasekera,50421,Athula Samarasekera,Sri Lanka,Maitipage Athula Rohitha Samarasekera,nan,Right-hand bat,Right-arm medium
Shabbir Ahmed,42632,Shabbir Ahmed,Pakistan,Shabbir Ahmed Khan,nan,Right-hand bat,Right-arm fast-medium
Suraj Kumar,1156690,Suraj Kumar,Oman,Suraj Kumar,nan,Right-hand bat,nan
NT Tilak Varma,1170265,Tilak Varma,India,Namboori Thakur Tilak Varma,nan,Left-hand bat,Right-arm offbreak
SZ Vayani,1378451,,,,,,
S Veerapathiran,1217274,,,,,,
