Player Name,Player ID,NAME,COUNTRY,Full name,Playing role,Batting style,Bowling style
Q de Kock,379143,Quinton de Kock,South Africa,Quinton de Kock,Wicketkeeper batsman,Left-hand bat,nan
BB McCullum,37737,Brendon McCullum,New Zealand,Brendon Barrie McCullum,Wicketkeeper batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak"
R Tewatia,423838,Rahul Tewatia,India,Rahul Tewatia,Bowler,Left-hand bat,Legbreak
V Sehwag,35263,Virender Sehwag,India,Virender Sehwag,Top-order batsman,Right-hand bat,Right-arm offbreak
SPD Smith,267192,Steven Smith,Australia,Steven Peter Devereux Smith,Middle-order batsman,Right-hand bat,Legbreak googly
Z Khan,30102,Zaheer Khan,India,Zaheer Khan,Bowler,Right-hand bat,Left-arm fast-medium
JH Kallis,45789,Jacques Kallis,South Africa,Jacques Henry Kallis,Allrounder,Right-hand bat,Right-arm fast-medium
R Bhatia,26907,Rajat Bhatia,India,Rajat Bhatia,Allrounder,Right-hand bat,Right-arm medium-fast
DW Steyn,47492,Dale Steyn,South Africa,Dale Willem Steyn,Bowler,Right-hand bat,Right-arm fast
AJ Finch,5334,Aaron Finch,Australia,Aaron James Finch,Top-order batsman,Right-hand bat,Slow left-arm orthodox
R Dravid,28114,Rahul Dravid,India,Rahul Sharad Dravid,Top-order batsman,Right-hand bat,Right-arm offbreak
K Rabada,550215,Kagiso Rabada,South Africa,Kagiso Rabada,Bowler,Left-hand bat,Right-arm fast
JP Duminy,44932,Jean-Paul Duminy,South Africa,Jean-Paul Duminy,Batting allrounder,Left-hand bat,Right-arm offbreak
EJG Morgan,24598,Eoin Morgan,England,Eoin Joseph Gerard Morgan,Middle-order batsman,Left-hand bat,Right-arm medium
AC Gilchrist,5390,Adam Gilchrist,Australia,Adam Craig Gilchrist,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak
DPMD Jayawardene,49289,Mahela Jayawardene,Sri Lanka,Denagamage Proboth Mahela de Silva Jayawardene,Batsman,Right-hand bat,Right-arm medium
KS Williamson,277906,Kane Williamson,New Zealand,Kane Stuart Williamson,Top-order batsman,Right-hand bat,Right-arm offbreak
SR Tendulkar,35320,Sachin Tendulkar,India,Sachin Ramesh Tendulkar,Top-order batsman,Right-hand bat,"Right-arm offbreak, Legbreak googly"
SK Trivedi,35353,Siddharth Trivedi,India,Siddharth Kishorkumar Trivedi,Bowler,Right-hand bat,Right-arm medium
MM Ali,8917,Moeen Ali,England,Moeen Munir Ali,Batting allrounder,Left-hand bat,Right-arm offbreak
KC Sangakkara,50710,Kumar Sangakkara,Sri Lanka,Kumar Chokshanada Sangakkara,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak
Shakib Al Hasan,56143,Shakib Al Hasan,Bangladesh,Shakib Al Hasan,Allrounder,Left-hand bat,Slow left-arm orthodox
M Morkel,46538,Morne Morkel,South Africa,Morne Morkel,Bowler,Left-hand bat,Right-arm fast
M Muralidaran,49636,Muttiah Muralitharan,Sri Lanka,Muttiah Muralitharan,Bowler,Right-hand bat,Right-arm offbreak
Abdul Samad,1175485,Abdul Samad,India,Abdul Samad,nan,Right-hand bat,Legbreak
Mustafizur Rahman,330902,Mustafizur Rahman,Bangladesh,Mustafizur Rahman,Bowler,Left-hand bat,Left-arm fast-medium
SC Ganguly,28779,Sourav Ganguly,India,Sourav Chandidas Ganguly,nan,Left-hand bat,Right-arm medium
MEK Hussey,5939,Michael Hussey,Australia,Michael Edward Killeen Hussey,Middle-order batsman,Left-hand bat,Right-arm medium
SB Jakati,29655,Shadab Jakati,India,Shadab Bashir Jakati,Bowler,Left-hand bat,Slow left-arm orthodox
A Badoni,1151270,Ayush Badoni,India,Ayush Badoni,nan,Right-hand bat,Right-arm offbreak
M Vohra,532856,Manan Vohra,India,Manan Vohra,Opening batsman,Right-hand bat,Right-arm medium
M Manhas,31001,Mithun Manhas,India,Mithun Manhas,Allrounder,Right-hand bat,Right-arm offbreak
MR Marsh,272450,Mitchell Marsh,Australia,Mitchell Ross Marsh,Allrounder,Right-hand bat,Right-arm medium
M Shahrukh Khan,719719,Shahrukh Khan,India,Masood Shahrukh Khan,nan,Right-hand bat,Right-arm offbreak
LRPL Taylor,38699,Ross Taylor,New Zealand,Luteru Ross Poutoa Lote Taylor,Middle-order batsman,Right-hand bat,Right-arm offbreak
SK Warne,8166,Shane Warne,Australia,Shane Keith Warne,Bowler,Right-hand bat,Legbreak googly
MG Johnson,6033,Mitchell Johnson,Australia,Mitchell Guy Johnson,Bowler,Left-hand bat,Left-arm fast
TG Southee,232364,Tim Southee,New Zealand,Timothy Grant Southee,Bowler,Right-hand bat,Right-arm medium-fast
JM Bairstow,297433,Jonny Bairstow,England,Jonathan Marc Bairstow,Middle-order batsman,Right-hand bat,Right-arm medium
TM Dilshan,48472,Tillakaratne Dilshan,Sri Lanka,Tillakaratne Mudiyanselage Dilshan,Allrounder,Right-hand bat,Right-arm offbreak
S Gopal,344580,Shreyas Gopal,India,Shreyas Gopal,Allrounder,Right-hand bat,Legbreak
MA Starc,311592,Mitchell Starc,Australia,Mitchell Aaron Starc,Bowler,Left-hand bat,Left-arm fast
Prabhsimran Singh,1161024,Simran Singh,India,Prab Simran Singh,nan,Right-hand bat,nan
Harpreet Brar,1168641,Harpreet Brar,India,Harpreet Brar,nan,Left-hand bat,Slow left-arm orthodox
Iqbal Abdulla,277237,Iqbal Abdulla,India,Sayed Iqbal Abdulla,Allrounder,Left-hand bat,Slow left-arm orthodox
AD Mathews,49764,Angelo Mathews,Sri Lanka,Angelo Davis Mathews,Allrounder,Right-hand bat,Right-arm medium
TU Deshpande,822553,Tushar Deshpande,India,Tushar Uday Deshpande,nan,Right-hand bat,Right-arm medium
JO Holder,391485,Jason Holder,West Indies,Jason Omar Holder,Bowling allrounder,Right-hand bat,Right-arm medium-fast
BA Stokes,311158,Ben Stokes,England,Benjamin Andrew Stokes,Allrounder,Left-hand bat,Right-arm fast-medium
M Ashwin,528067,Murugan Ashwin,India,Murugan Ashwin,Bowler,Right-hand bat,Legbreak googly
TL Suman,34281,Tirumalasetti Suman,India,Tirumalasetti Laxminarayana Suman,Batsman,Right-hand bat,Right-arm offbreak
Yash Dayal,1159720,Yash Dayal,India,Yash Dayal,nan,Left-hand bat,Left-arm medium-fast
AB Agarkar,26184,Ajit Agarkar,India,Ajit Bhalchandra Agarkar,Bowler,Right-hand bat,Right-arm fast
A Kumble,30176,Anil Kumble,India,Anil Kumble,nan,Right-hand bat,Legbreak googly
PJ Sangwan,279545,Pradeep Sangwan,India,Pradeep Jaibeer Sangwan,Bowler,Right-hand bat,Left-arm medium
Rasikh Salam,1161489,Rasikh Salam,India,Rasikh Salam,nan,Right-hand bat,Right-arm medium
DS Rathi,1460529,,,,,,
Sameer Rizvi,1175489,Sameer Rizvi,India,Sameer Rizvi,nan,Right-hand bat,Right-arm offbreak
HR Shokeen,1175423,Hrithik Shokeen,India,Hrithik Shokeen,nan,Right-hand bat,Right-arm offbreak
WPUJC Vaas,50804,Chaminda Vaas,Sri Lanka,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,nan,Left-hand bat,Left-arm fast-medium
Aman Hakim Khan,1254269,,,,,,
A Chandila,27783,Ajit  Chandila,India,Ajit  Chandila,Allrounder,Right-hand bat,Right-arm offbreak
WA Mota,31041,Wilkin Mota,India,Wilkin Arvind Mota,nan,Right-hand bat,Right-arm medium
AG Murtaza,26490,Ali Murtaza,India,Ali Ghulam Murtaza,Bowler,Left-hand bat,Slow left-arm orthodox
KL Nagarkoti,1070188,Kamlesh Nagarkoti,India,Kamlesh Lachham Nagarkoti,Bowler,Right-hand bat,Right-arm fast
PA Reddy,376109,Akshath Reddy,India,Produturi Akshath Reddy,nan,Right-hand bat,Legbreak
AS Roy,1079839,Anukul Roy,India,Anukul Sudhakar Roy,Allrounder,Left-hand bat,Slow left-arm orthodox
SB Styris,38407,Scott Styris,New Zealand,Scott Bernard Styris,Allrounder,Right-hand bat,Right-arm medium
YA Abdulla,224367,Yusuf Abdulla,South Africa,Yusuf Adam Abdulla,Bowler,Left-hand bat,Left-arm fast-medium
KC Cariappa,777537,KC Cariappa,India,Konganda Charamanna Cariappa,Bowler,Right-hand bat,Legbreak
SD Chitnis,337916,Siddharth Chitnis,India,Siddharth Dilip Chitnis,Batsman,Right-hand bat,Right-arm offbreak
SS Prabhudessai,1083851,Suyash Prabhudessai,India,Suyash S Prabhudessai,nan,Right-hand bat,Right-arm medium
S Rana,33757,Sachin Rana,India,Sachin Rana,Bowler,Right-hand bat,Right-arm medium-fast
J Syed Mohammad,35261,Jamaluddin Syed Mohammad,India,Jamaluddin Syed Mohammad,Bowler,Left-hand bat,Slow left-arm orthodox
Akash Singh,1175458,Akash Singh,India,Akash Maharaj Singh,nan,Right-hand bat,Left-arm medium-fast
SP Fleming,37000,Stephen Fleming,New Zealand,Stephen Paul Fleming,Top-order batsman,Left-hand bat,nan
S Kaushik,917213,Shivil Kaushik,India,Shivil Kaushik,Bowler,Right-hand bat,Slow left-arm chinaman
RT Ponting,7133,Ricky Ponting,Australia,Ricky Thomas Ponting,Top-order batsman,Right-hand bat,Right-arm medium
RR Raje,290713,Rohan Raje,India,Rohan Ravindra Raje,nan,Right-hand bat,Right-arm fast-medium
N Saini,274785,Nitin Saini,India,Nitin Saini,nan,Right-hand bat,nan
Shahid Afridi,42639,Shahid Afridi,Pakistan,Sahibzada Mohammad Shahid Khan Afridi,Allrounder,Right-hand bat,Legbreak googly
A Taide,1125958,Atharva Taide,India,Atharva Taide,nan,Left-hand bat,Slow left-arm orthodox
Zeeshan Ansari,942371,Zeeshan Ansari,India,Zeeshan Ansari,nan,Right-hand bat,Legbreak googly
S Ladda,317292,Sarabjit Ladda,India,Sarabjit Ladda,Bowler,Right-hand bat,Legbreak
Anmolpreet Singh,851261,Anmolpreet Singh,India,Anmolpreet Singh,nan,Right-hand bat,Right-arm offbreak
Harpreet Singh,340854,Harpreet Singh,India,Harpreet Singh Bhatia,Batsman,Left-hand bat,Right-arm medium
SD Hope,581379,Shai Hope,West Indies,Shai Diego Hope,Wicketkeeper batsman,Right-hand bat,nan
SP Jackson,237696,Sheldon Jackson,India,Sheldon Philip Jackson,Wicketkeeper batsman,Right-hand bat,nan
Kamran Khan,391121,Kamran Khan,India,Kamran Khan,Bowler,Left-hand bat,Left-arm medium-fast
Karanveer Singh,322535,Karanveer Singh,India,Karanveer Singh,nan,Right-hand bat,Legbreak googly
B Laughlin,315623,Ben Laughlin,Australia,Ben Laughlin,Bowler,Right-hand bat,Right-arm fast-medium
M Ntini,46592,Makhaya Ntini,South Africa,Makhaya Ntini,nan,Right-hand bat,Right-arm fast
NK Patel,32240,Niraj Patel,India,Niraj Kanubhai Patel,nan,Left-hand bat,nan
RV Patel,1201520,,,,,,
V Pratap Singh,528967,Veer Pratap Singh,India,Veer Pratap Singh,nan,Right-hand bat,Right-arm medium
BB Samantray,430125,Biplab Samantray,India,Biplab Bipin Samantray,nan,Right-hand bat,Right-arm medium
Sikandar Raza,299572,Sikandar Raza,Zimbabwe,Sikandar Raza Butt,Batting allrounder,Right-hand bat,Right-arm offbreak
S Vidyut,35619,Vidyut Sivaramakrishnan,India,Vidyut Sivaramakrishnan,nan,Left-hand bat,Slow left-arm orthodox
DP Vijaykumar,272949,Paidikalva Vijaykumar,India,David Paidikalva Vijaykumar,nan,Right-hand bat,Right-arm medium
Yudhvir Singh,1206052,,,,,,
Anand Rajan,26797,Anand Rajan,India,Anand Rajan,Bowler,Right-hand bat,Right-arm medium
PD Collingwood,10772,Paul Collingwood,England,Paul David Collingwood,Allrounder,Right-hand bat,Right-arm medium
MJ Dagar,942367,Mayank Dagar,India,Mayank J Dagar,Bowler,Right-hand bat,Slow left-arm orthodox
K Khejroliya,1083033,Kulwant Khejroliya,India,Kulwant Khejroliya,Bowler,Left-hand bat,Left-arm medium-fast
Misbah-ul-Haq,41378,Misbah-ul-Haq,Pakistan,Misbah-ul-Haq Khan Niazi,Middle-order batsman,Right-hand bat,Legbreak
Mohammad Hafeez,41434,Mohammad Hafeez,Pakistan,Mohammad Hafeez,Allrounder,Right-hand bat,Right-arm offbreak
P Parameswaran,279562,Prasanth Parameswaran,India,Prasanth Parameswaran,nan,Right-hand bat,Left-arm medium
AUK Pathan,430401,Asad Pathan,India,Asad Ullah Khan Pathan,Bowler,Right-hand bat,Right-arm medium
Shoaib Ahmed,317709,Shoaib Ahmed,India,Syed Mohammad Shoaib Ahmed,nan,Right-hand bat,Right-arm fast-medium
SB Wagh,279552,Shrikant Wagh,India,Shrikant Bhaskar Wagh,Allrounder,Left-hand bat,Left-arm medium-fast
AS Yadav,36110,Arjun Yadav,India,Arjun Shivlal Yadav,Batsman,Right-hand bat,Right-arm offbreak
Yashpal Singh,36130,Yashpal Singh,India,Yashpal Singh,Batsman,Right-hand bat,Right-arm medium
Ankit Soni,1083128,Ankit Soni,India,Ankit Soni,Allrounder,Right-hand bat,Legbreak
Ashwani Kumar,1209126,,,,,,
KM Asif,1083030,KM Asif,India,KM Asif,Bowler,Right-hand bat,Right-arm medium
AA Bilakhia,26946,Azhar Bilakhia,India,Azharuddin Anjum Bilakhia,nan,Right-hand bat,Right-arm medium
AC Blizzard,4498,Aiden Blizzard,Australia,Aiden Craig Blizzard,Batsman,Left-hand bat,Left-arm medium
DJ Jacobs,45782,Davy Jacobs,South Africa,David Johan Jacobs,Wicketkeeper batsman,Right-hand bat,Right-arm medium
IR Jaggi,279554,Ishank Jaggi,India,Ishank Rajiv Jaggi,Batsman,Right-hand bat,Legbreak googly
MC Juneja,390480,Manprit Juneja,India,Manprit Charanjit Juneja,nan,Right-hand bat,Right-arm offbreak
A Mhatre,1452455,,,,,,
S Narwal,32084,Sumit Narwal,India,Sumit Narwal,Allrounder,Left-hand bat,Right-arm medium
Shoaib Malik,42657,Shoaib Malik,Pakistan,Shoaib Malik,Middle-order batsman,Right-hand bat,Right-arm offbreak
R Shukla,390547,Rahul Shukla,India,Rahul Shukla,nan,Right-hand bat,Right-arm medium
TM Srivastava,35401,Tanmay Srivastava,India,Tanmay Manoj Srivastava,Top-order batsman,Left-hand bat,Right-arm medium
V Suryavanshi,1408688,,,,,,
P Amarnath,290629,Palani  Amarnath,India,Palani Amarnath,nan,Right-hand bat,Right-arm medium
MJ Clarke,4578,Michael Clarke,Australia,Michael John Clarke,Middle-order batsman,Right-hand bat,Slow left-arm orthodox
Kamran Akmal,41028,Kamran Akmal,Pakistan,Kamran Akmal,Wicketkeeper batsman,Right-hand bat,nan
KMDN Kulasekara,49535,Nuwan Kulasekara,Sri Lanka,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,Bowler,Right-hand bat,Right-arm fast-medium
PN Mankad,956871,Prerak Mankad,India,Prerak Nileshkumar Mankad,nan,Right-hand bat,Right-arm medium
DJ Muthuswami,528985,Domnic Muthuswami,India,Domnic Joseph Muthuswami,nan,Right-hand bat,Right-arm medium
DG Nalkande,1111917,Darshan Nalkande,India,Darshan Girish Nalkande,nan,Right-hand bat,Right-arm fast-medium
Prince Yadav,1350768,,,,,,
D Salunkhe,278482,Dinesh Salunkhe,India,Dinesh Salunkhe,Bowler,Right-hand bat,Legbreak
Sanvir Singh,1132219,Sanvir Singh,India,Sanvir Singh,nan,Right-hand bat,Right-arm medium
Sunny Singh,35282,Sunny Singh,India,Sunny Singh,Batsman,Right-hand bat,Right-arm medium-fast
DJ Thornely,8002,Dominic Thornely,Australia,Dominic John Thornely,Top-order batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak"
Umar Gul,43524,Umar Gul,Pakistan,Umar Gul,Bowler,Right-hand bat,Right-arm fast-medium
Vishnu Vinod,732293,Vishnu Vinod,India,Vishnu Vinod,nan,Right-hand bat,nan
MP Yadav,1292563,,,,,,
Anirudh Singh,26252,Anirudh Singh,India,Anirudh Singh,nan,Left-hand bat,Right-arm medium
RA Bawa,1292502,,,,,,
LA Carseldine,4541,Lee Carseldine,Australia,Lee Andrew Carseldine,Allrounder,Left-hand bat,Left-arm medium
A Choudhary,527299,Aniket Choudhary,India,Aniket Vinod Choudhary,Bowler,Right-hand bat,Left-arm medium
P Dubey,777515,Praveen Dubey,India,Praveen Dubey,Bowler,Right-hand bat,Legbreak googly
U Kaul,30235,Uday Kaul,India,Uday Kaul,Wicketkeeper,Left-hand bat,nan
AG Paunikar,324444,Amit Paunikar,India,Amit Gajanan Paunikar,Wicketkeeper batsman,Right-hand bat,nan
V Puthur,1460388,,,,,,
SK Rasheed,1292497,,,,,,
P Sahu,34155,Pardeep Sahu,India,Pardeep Sahu,Allrounder,Right-hand bat,Legbreak googly
Shivam Sharma,717201,Shivam Sharma,India,Shivam Sharma,nan,Right-hand bat,Right-arm offbreak
M Siddharth,1151286,M Siddharth,India,M Siddharth,nan,Left-hand bat,Slow left-arm orthodox
B Sumanth,253798,Bodapati Sumanth,India,Bodapati Apparao Sumanth,Middle-order batsman,Right-hand bat,Right-arm medium-fast
Suryansh Shedge,1339698,,,,,,
P Suyal,431213,Pawan Suyal,India,Pawan Shakland Suyal,Bowler,Right-hand bat,Left-arm medium
AS Tendulkar,1148776,Arjun Tendulkar,India,Arjun Sachin Tendulkar,nan,Left-hand bat,Left-arm medium-fast
RK Bhui,642531,Ricky Bhui,India,Ricky Kannakumar Bhui,Top-order batsman,Right-hand bat,Legbreak googly
YV Dhull,1292498,,,,,,
ND Doshi,12440,Nayan Doshi,England,Nayan Dilip Doshi,Bowler,Right-hand bat,Slow left-arm orthodox
ER Dwivedi,340841,Eklavya Dwivedi,India,Eklavya Rakesh Dwivedi,Wicketkeeper,Right-hand bat,nan
Gagandeep Singh,28758,Gagandeep Singh,India,Gagandeep Singh,nan,Right-hand bat,Right-arm medium-fast
DJ Harris,5583,Daniel Harris,Australia,Daniel Joseph Harris,nan,Right-hand bat,Right-arm medium
MA Khote,30220,Musavir Khote,India,Musavir Asmat Khote,nan,Right-hand bat,Right-arm medium
T Kohler-Cadmore,470633,Tom Kohler-Cadmore,England,Tom Kohler-Cadmore,nan,Right-hand bat,Right-arm offbreak
T Kohli,331855,Taruwar Kohli,India,Taruwar Sushil Kohli,nan,Right-hand bat,Right-arm medium
K Kushagra,1207295,,,,,,
AP Majumdar,31750,Anustup Majumdar,India,Anustup Prabir Majumdar,nan,Right-hand bat,Legbreak googly
NS Naik,554700,Nikhil Naik,India,Nikhil Shankar Naik,Wicketkeeper batsman,Right-hand bat,nan
RR Sarwan,52969,Ramnaresh Sarwan,West Indies,Ramnaresh Ronnie Sarwan,Batsman,Right-hand bat,Legbreak
JPR Scantlebury-Searles,230554,Javon Searles,West Indies,Javon Philip Ramon Scantlebury-Searles,Bowler,Right-hand bat,Right-arm fast-medium
Sumit Kumar,1159734,Sumit Kumar,India,Sumit Kumar,nan,Right-hand bat,Right-arm medium-fast
L Ablish,26236,Love Ablish,India,Love Ablish,Bowler,Right-hand bat,Right-arm medium-fast
J Arunkumar,26291,Jagadeesh Arunkumar,India,Jagadeesh Arunkumar,nan,Right-hand bat,Right-arm offbreak
R Bishnoi,236766,Rajesh Bishnoi,India,Rajesh Bishnoi,nan,Right-hand bat,Right-arm medium-fast
S Chanderpaul,51469,Shivnarine Chanderpaul,West Indies,Shivnarine Chanderpaul,Batsman,Left-hand bat,Legbreak
SD Chauhan,1287369,,,,,,
AP Dole,236694,Aditya Dole,India,Aditya Pradip Dole,Bowler,Right-hand bat,Right-arm medium-fast
HS Dubey,1216159,,,,,,
A Flintoff,12856,Andrew Flintoff,England,Andrew Flintoff,Allrounder,Right-hand bat,Right-arm fast-medium
Himmat Singh,805235,Himmat Singh,India,Himmat Singh,nan,Right-hand bat,Right-arm offbreak
B Indrajith,477069,Baba Indrajith,India,Baba Indrajith,nan,Right-hand bat,Legbreak googly
D Kalyankrishna,30719,Doddapaneni Kalyankrishna,India,Doddapaneni Kalyankrishna,nan,Right-hand bat,Right-arm medium-fast
C Nanda,32093,Chetanya Nanda,India,Chetanya Nanda,nan,Right-hand bat,Legbreak
UM Patel,1131570,Urvil Patel,India,Urvil Mukesh Patel,nan,Right-hand bat,nan
AU Rashid,244497,Adil Rashid,England,Adil Usman Rashid,Bowler,Right-hand bat,Legbreak
JE Root,303669,Joe Root,England,Joseph Edward Root,Top-order batsman,Right-hand bat,"Right-arm offbreak, Legbreak"
KS Sharma,1246518,,,,,,
Shoaib Akhtar,42655,Shoaib Akhtar,Pakistan,Shoaib Akhtar,Bowler,Right-hand bat,Right-arm fast
TP Sudhindra,34139,TP Sudhindra,India,Taduri Prakash Chandra Sudhindra,nan,Left-hand bat,Right-arm fast
