url,series_name
https://www.espncricinfo.com/series/carlton-united-series-1999-00-61058/india-vs-pakistan-7th-match-65593/match-report,"Carlton & United Series (Australia
https://www.espncricinfo.com/series/carlton-united-series-1999-00-61058/australia-vs-pakistan-8th-match-65594/match-report,"Carlton & United Series (Australia
https://www.espncricinfo.com/series/carlton-united-series-1999-00-61058/australia-vs-india-10th-match-65596/match-report,"Carlton & United Series (Australia
https://www.espncricinfo.com/series/sri-lanka-tour-of-pakistan-1999-00-61630/pakistan-vs-sri-lanka-1st-odi-64645/match-report,"Sri Lanka in Pakistan ODI Series
https://www.espncricinfo.com/series/sri-lanka-tour-of-pakistan-1999-00-61630/pakistan-vs-sri-lanka-2nd-odi-64646/match-report,"Sri Lanka in Pakistan ODI Series
https://www.espncricinfo.com/series/sri-lanka-tour-of-pakistan-1999-00-61630/pakistan-vs-sri-lanka-3rd-odi-64651/match-report,"Sri Lanka in Pakistan ODI Series
https://www.espncricinfo.com/series/australia-tour-of-new-zealand-1999-00-61404/new-zealand-vs-australia-4th-odi-64654/match-report,"Australia in New Zealand ODI Series
https://www.espncricinfo.com/series/asia-cup-2000-61067/bangladesh-vs-sri-lanka-1st-match-65699/match-report,"Asia Cup (Bangladesh
https://www.espncricinfo.com/series/asia-cup-2000-61067/bangladesh-vs-india-2nd-match-65700/match-report,"Asia Cup (Bangladesh
https://www.espncricinfo.com/series/asia-cup-2000-61067/india-vs-sri-lanka-3rd-match-65701/match-report,"Asia Cup (Bangladesh
https://www.espncricinfo.com/series/asia-cup-2000-61067/bangladesh-vs-pakistan-4th-match-65702/match-report,"Asia Cup (Bangladesh
https://www.espncricinfo.com/series/asia-cup-2000-61067/india-vs-pakistan-5th-match-65703/match-report,"Asia Cup (Bangladesh
https://www.espncricinfo.com/series/asia-cup-2000-61067/pakistan-vs-sri-lanka-6th-match-65704/match-report,"Asia Cup (Bangladesh
https://www.espncricinfo.com/series/asia-cup-2000-61067/pakistan-vs-sri-lanka-final-65705/match-report,"Asia Cup (Bangladesh
https://www.espncricinfo.com/series/coca-cola-cup-1999-00-61064/india-vs-south-africa-1st-match-65782/match-report,"Coca-Cola Cup (India
https://www.espncricinfo.com/series/coca-cola-cup-1999-00-61064/india-vs-pakistan-2nd-match-65783/match-report,"Coca-Cola Cup (India
https://www.espncricinfo.com/series/coca-cola-cup-1999-00-61064/pakistan-vs-south-africa-3rd-match-65784/match-report,"Coca-Cola Cup (India
https://www.espncricinfo.com/series/coca-cola-cup-1999-00-61064/india-vs-pakistan-4th-match-65785/match-report,"Coca-Cola Cup (India
https://www.espncricinfo.com/series/coca-cola-cup-1999-00-61064/india-vs-south-africa-5th-match-65786/match-report,"Coca-Cola Cup (India
https://www.espncricinfo.com/series/coca-cola-cup-1999-00-61064/pakistan-vs-south-africa-6th-match-65787/match-report,"Coca-Cola Cup (India
https://www.espncricinfo.com/series/coca-cola-cup-1999-00-61064/pakistan-vs-south-africa-final-65788/match-report,"Coca-Cola Cup (India
https://www.espncricinfo.com/series/south-africa-tour-of-india-1999-00-61857/india-vs-south-africa-1st-odi-64657/match-report,"South Africa in India ODI Series
https://www.espncricinfo.com/series/south-africa-tour-of-india-1999-00-61857/india-vs-south-africa-2nd-odi-64658/match-report,"South Africa in India ODI Series
https://www.espncricinfo.com/series/south-africa-tour-of-india-1999-00-61857/india-vs-south-africa-3rd-odi-64659/match-report,"South Africa in India ODI Series
https://www.espncricinfo.com/series/south-africa-tour-of-india-1999-00-61857/india-vs-south-africa-4th-odi-64660/match-report,"South Africa in India ODI Series
https://www.espncricinfo.com/series/south-africa-tour-of-india-1999-00-61857/india-vs-south-africa-5th-odi-64661/match-report,"South Africa in India ODI Series
