text,url,table_index,link_type
"India in Pakistan ODI Series, 1982/83",https://www.espncricinfo.com/series/india-in-pakistan-odi-series-1982-83-60825/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series Cup (Australia, England, New Zealand in Australia), 1982/83",https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1982-83-60826/match-schedule-fixtures-and-results,1,series
"England in New Zealand ODI Series, 1982/83",https://www.espncricinfo.com/series/england-in-new-zealand-odi-series-1982-83-60827/match-schedule-fixtures-and-results,1,series
"Bushfire Appeal Challenge Match (New Zealand in Australia), 1982/83",https://www.espncricinfo.com/series/bushfire-appeal-challenge-match-1982-83-60830/match-schedule-fixtures-and-results,1,series
"Sri Lanka in New Zealand ODI Series, 1982/83",https://www.espncricinfo.com/series/sri-lanka-in-new-zealand-odi-series-1982-83-60828/match-schedule-fixtures-and-results,1,series
"India in West Indies ODI Series, 1982/83",https://www.espncricinfo.com/series/india-in-west-indies-odi-series-1982-83-60829/match-schedule-fixtures-and-results,1,series
"Australia in Sri Lanka ODI Series, 1982/83",https://www.espncricinfo.com/series/australia-in-sri-lanka-odi-series-1982-83-60831/match-schedule-fixtures-and-results,1,series
"Prudential World Cup (in England), 1983",https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/match-schedule-fixtures-and-results,1,series
"Pakistan in India ODI Series, 1983/84",https://www.espncricinfo.com/series/pakistan-in-india-odi-series-1983-84-60833/match-schedule-fixtures-and-results,1,series
"West Indies in India ODI Series, 1983/84",https://www.espncricinfo.com/series/west-indies-in-india-odi-series-1983-84-60834/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series Cup (Australia, Pakistan, West Indies in Australia), 1983/84",https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1983-84-60835/match-schedule-fixtures-and-results,1,series
"England in New Zealand ODI Series, 1983/84",https://www.espncricinfo.com/series/england-in-new-zealand-odi-series-1983-84-60836/match-schedule-fixtures-and-results,1,series
"England in Pakistan ODI Series, 1983/84",https://www.espncricinfo.com/series/england-in-pakistan-odi-series-1983-84-60839/match-schedule-fixtures-and-results,1,series
"New Zealand in Sri Lanka ODI Series, 1983/84",https://www.espncricinfo.com/series/new-zealand-in-sri-lanka-odi-series-1983-84-60838/match-schedule-fixtures-and-results,1,series
"Rothmans Asia Cup (India, Pakistan, Sri Lanka in United Arab Emirates), 1983/84",https://www.espncricinfo.com/series/rothmans-asia-cup-1983-84-60840/match-schedule-fixtures-and-results,1,series
"Australia in West Indies ODI Series, 1983/84",https://www.espncricinfo.com/series/australia-in-west-indies-odi-series-1983-84-60837/match-schedule-fixtures-and-results,1,series
"Texaco Trophy (West Indies in England), 1984",https://www.espncricinfo.com/series/texaco-trophy-1984-60841/match-schedule-fixtures-and-results,1,series
"Australia in India ODI Series, 1984/85",https://www.espncricinfo.com/series/australia-in-india-odi-series-1984-85-60842/match-schedule-fixtures-and-results,1,series
"India in Pakistan ODI Series, 1984/85",https://www.espncricinfo.com/series/india-in-pakistan-odi-series-1984-85-60843/match-schedule-fixtures-and-results,1,series
"New Zealand in Sri Lanka ODI Series, 1984/85",https://www.espncricinfo.com/series/new-zealand-in-sri-lanka-odi-series-1984-85-60844/match-schedule-fixtures-and-results,1,series
"New Zealand in Pakistan ODI Series, 1984/85",https://www.espncricinfo.com/series/new-zealand-in-pakistan-odi-series-1984-85-60845/match-schedule-fixtures-and-results,1,series
"England in India ODI Series, 1984/85",https://www.espncricinfo.com/series/england-in-india-odi-series-1984-85-60846/match-schedule-fixtures-and-results,1,series
"Benson & Hedges World Series Cup (Australia, Sri Lanka, West Indies in Australia), 1984/85",https://www.espncricinfo.com/series/benson-hedges-world-series-cup-1984-85-60847/match-schedule-fixtures-and-results,1,series
